,type,char,movie,Freebase_character/actor_map_ID,Actor_name,Gender
49,brainless_beauty,Buffy Summers,Buffy the Vampire Slayer,/m/0jvy0r,Kristy Swanson,F
50,valley_girl,Buffy Summers,Buffy the Vampire Slayer,/m/0jvy0r,Kristy Swanson,F
51,brainless_beauty,Brad,Extract,/m/0b3trzf,Dustin Milligan,M
52,brainless_beauty,Jack Bartlett,Sugar & Spice,/m/0cg2m9s,James Marsden,M
53,brainless_beauty,Maggie Feller,In Her Shoes,/m/0jzvtp,Cameron Diaz,F
54,broken_bird,Chelsea Deardon,Legal Eagles,/m/0j_wlm,Daryl Hannah,F
55,broken_bird,Mad Hatter,Alice in Wonderland,/m/04q4dng,Johnny Depp,M
56,broken_bird,Nicole Oakley,Crazy/Beautiful,/m/0jwrqb,Kirsten Dunst,F
57,broken_bird,Annie Newton,The Invisible,/m/02tbbww,Margarita Levieva,F
58,broken_bird,Nina Sayers,Black Swan,/m/0cccx3m,Natalie Portman,F
59,bromantic_foil,Randal Graves,Clerks.,/m/0jwj18,Jeff Anderson,M
60,bromantic_foil,Randal Graves,Clerks II,/m/09vvrb_,Jeff Anderson,M
61,bromantic_foil,Brodie Bruce,Mallrats,/m/07ldy8x,Jason Lee,M
62,slacker,Brodie Bruce,Mallrats,/m/07ldy8x,Jason Lee,M
63,bromantic_foil,Banky Edwards,Chasing Amy,/m/05ckj7h,Jason Lee,M
64,bromantic_foil,Ed,Shaun of the Dead,/m/0k35nb,Nick Frost,M
65,bruiser_with_a_soft_center,Hellboy,Hellboy: Blood and Iron,/m/0jzb66,Ron Perlman,M
66,bruiser_with_a_soft_center,Tron,Tron,/m/0hcfdd1,Bruce Boxleitner,M
67,bruiser_with_a_soft_center,James Bond,Casino Royale,/m/02hw79s,Daniel Craig,M
68,byronic_hero,James Bond,Casino Royale,/m/02hw79s,Daniel Craig,M
69,charmer,James Bond,Casino Royale,/m/02hw79s,Daniel Craig,M
70,cultured_badass,James Bond,Casino Royale,/m/02hw79s,Daniel Craig,M
71,bully,Biff Tannen,Back to the Future,/m/0jty60,Thomas F. Wilson,M
72,jerk_jock,Biff Tannen,Back to the Future,/m/0jty60,Thomas F. Wilson,M
73,bully,Scut Farkus,A Christmas Story,/m/0jsprx,Zack Ward,M
74,bully,Vanessa,The Grudge 2,/m/0k592n,Teresa Palmer,F
75,byronic_hero,Jake LaMotta,Raging Bull,/m/0k28_g,Robert De Niro,M
76,crazy_jealous_guy,Jake LaMotta,Raging Bull,/m/0k28_g,Robert De Niro,M
77,byronic_hero,Travis Bickle,Taxi Driver,/m/0k43s9,Robert De Niro,M
78,byronic_hero,Martin Q. Blank,Grosse Pointe Blank,/m/0jz0wk,John Cusack,M
79,byronic_hero,Brand Hauser,War Inc.,/m/02vczvr,John Cusack,M
80,byronic_hero,Cobb,Inception,/m/0667g_f,Leonardo DiCaprio,M
81,gentleman_thief,Cobb,Inception,/m/0667g_f,Leonardo DiCaprio,M
82,byronic_hero,Achilles,Troy,/m/0k7ckp,Brad Pitt,M
83,byronic_hero,Britt Reid,The Green Hornet,/m/0h5m_9x,Seth Rogen,M
84,byronic_hero,Donnie Darko,Donnie Darko,/m/0jxftx,Jake Gyllenhaal,M
85,byronic_hero,Captain Jack Sparrow,Pirates of the Caribbean: Dead Man's Chest,/m/0k1xxm,Johnny Depp,M
86,charmer,Captain Jack Sparrow,Pirates of the Caribbean: Dead Man's Chest,/m/0k1xxm,Johnny Depp,M
87,coward,Captain Jack Sparrow,Pirates of the Caribbean: Dead Man's Chest,/m/0k1xxm,Johnny Depp,M
88,loveable_rogue,Captain Jack Sparrow,Pirates of the Caribbean: Dead Man's Chest,/m/0k1xxm,Johnny Depp,M
89,trickster,Captain Jack Sparrow,Pirates of the Caribbean: Dead Man's Chest,/m/0k1xxm,Johnny Depp,M
90,byronic_hero,"John Wilmot, 2nd Earl of Rochester",The Libertine,/m/0k5ptk,Johnny Depp,M
91,casanova,"John Wilmot, 2nd Earl of Rochester",The Libertine,/m/0k5ptk,Johnny Depp,M
92,byronic_hero,Robert Angier,The Prestige,/m/0k65k8,Hugh Jackman,M
93,byronic_hero,Tony Stark,Iron Man,/m/0j1__hv,Robert Downey Jr.,M
94,casanova,Tony Stark,Iron Man,/m/0j1__hv,Robert Downey Jr.,M
95,gadgeteer_genius,Tony Stark,Iron Man,/m/0j1__hv,Robert Downey Jr.,M
96,byronic_hero,Loki,Thor,/m/0855mjk,Tom Hiddleston,M
97,trickster,Loki,Thor,/m/0855mjk,Tom Hiddleston,M
98,byronic_hero,Lenny Nero,Strange Days,/m/0k3tt_,Ralph Fiennes,M
99,byronic_hero,Bill 'The Butcher' Cutting,Gangs of New York,/m/0jynbm,Daniel Day-Lewis,M
100,casanova,Giacomo Casanova,Casanova,/m/0jw4mw,Heath Ledger,M
101,casanova,Telly,Kids,/m/0j_flm,Leo Fitzpatrick,M
102,casanova,Dorian Gray,The League of Extraordinary Gentlemen,/m/0dkcy1f,Stuart Townsend,M
103,cultured_badass,Dorian Gray,The League of Extraordinary Gentlemen,/m/0dkcy1f,Stuart Townsend,M
104,casanova,Timothy,The Long Kiss Goodnight,/m/02vch3p,Craig Bierko,M
105,casanova,Johnny Wickham,Bride and Prejudice,/m/0cf_wtd,Daniel Gillies,M
106,chanteuse,Jessica Rabbit,Who Framed Roger Rabbit,/m/02wszk9,Kathleen Turner,F
107,chanteuse,Tina Carlyle,The Mask,/m/0k5wls,Cameron Diaz,F
108,chanteuse,Susie Diamond,The Fabulous Baker Boys,/m/0k50tl,Michelle Pfeiffer,F
109,chanteuse,Sugar Kane Kowalczyk,Some Like It Hot,/m/0k3j8v,Marilyn Monroe,F
110,chanteuse,Dorothy Vallens,Blue Velvet,/m/0jvlc4,Isabella Rossellini,F
111,chanteuse,Ellen Aim,Streets of Fire,/m/0k3w12,Diane Lane,F
112,charmer,Han Solo,Star Wars Episode IV: A New Hope,/m/0k3r1_,Harrison Ford,M
113,loveable_rogue,Han Solo,Star Wars Episode IV: A New Hope,/m/0k3r1_,Harrison Ford,M
114,charmer,Frank Abagnale Jr.,Catch Me If You Can,/m/0jw5pq,Leonardo DiCaprio,M
115,charmer,Harold Hill,The Music Man,/m/04hv61w,Matthew Broderick,M
116,loveable_rogue,Harold Hill,The Music Man,/m/04hv61w,Matthew Broderick,M
117,charmer,Flynn Rider,Tangled,/m/07sl05m,Zachary Levi,M
118,charmer,Hannibal Lecter,The Silence of the Lambs,/m/0k6g86,Anthony Hopkins,M
119,cultured_badass,Hannibal Lecter,The Silence of the Lambs,/m/0k6g86,Anthony Hopkins,M
120,child_prodigy,Anakin Skywalker,Star Wars Episode I: The Phantom Menace,/m/02sg5rn,Jake Lloyd,M
121,gadgeteer_genius,Anakin Skywalker,Star Wars Episode I: The Phantom Menace,/m/02sg5rn,Jake Lloyd,M
122,child_prodigy,Chris Knight,Real Genius,/m/0k2ckt,Val Kilmer,M
123,classy_cat_burglar,Danielle Foussard,To Catch a Thief,/m/02vbgd1,Brigitte Auber,F
124,consummate_professional,Frank Martin,The Transporter,/m/0k6r5t,Jason Statham,M
125,consummate_professional,Agent Smith,The Matrix,/m/0k5wz1,Hugo Weaving,M
126,consummate_professional,The Professor,The Bourne Identity,/m/0k4kdl,Clive Owen,M
127,consummate_professional,Sam 'Ace' Rothstein,Casino,/m/0jw4vx,Robert De Niro,M
128,crazy_jealous_guy,Sam 'Ace' Rothstein,Casino,/m/0jw4vx,Robert De Niro,M
129,corrupt_corporate_executive,Dick Jones,RoboCop,/m/0k2m8v,Ronny Cox,M
130,corrupt_corporate_executive,Cutler Beckett,Pirates of the Caribbean: Dead Man's Chest,/m/0k1xyw,Tom Hollander,M
131,corrupt_corporate_executive,Cutler Beckett,Pirates of the Caribbean: At World's End,/m/0k1xwx,Tom Hollander,M
132,corrupt_corporate_executive,Max Zorin,A View to a Kill,/m/02xl2ny,Christopher Walken,M
133,corrupt_corporate_executive,Carter Burke,Aliens,/m/0jt8n6,Paul Reiser,M
134,coward,Carter Burke,Aliens,/m/0jt8n6,Paul Reiser,M
135,corrupt_corporate_executive,Noah Cross,Chinatown,/m/0jwcjw,John Huston,M
136,corrupt_corporate_executive,Doctor Doom,Fantastic Four,/m/0jy24c,Julian McMahon,M
137,corrupt_corporate_executive,Kingpin,Daredevil,/m/0jwz5q,Michael Clarke Duncan,M
138,corrupt_corporate_executive,Judge Doom,Who Framed Roger Rabbit,/m/0k81j_,Christopher Lloyd,M
139,corrupt_corporate_executive,Conal Cochran,Halloween III: Season of the Witch,/m/0jz33w,Dan O'Herlihy,M
140,corrupt_corporate_executive,Mayor Augustus Maywho,How the Grinch Stole Christmas!,/m/0jzmfp,Jeffrey Tambor,M
141,corrupt_corporate_executive,Henry F. Potter,It's a Wonderful Life,/m/0j_11c,Lionel Barrymore,M
142,morally_bankrupt_banker,Henry F. Potter,It's a Wonderful Life,/m/0j_11c,Lionel Barrymore,M
143,corrupt_corporate_executive,Royalton,Speed Racer,/m/03jqz37,Roger Allam,M
144,corrupt_corporate_executive,B.Z.,Santa Claus: The Movie,/m/0k2w67,John Lithgow,M
145,corrupt_corporate_executive,Les Grossman,Tropic Thunder,/m/0gyjwgg,Tom Cruise,M
146,corrupt_corporate_executive,James McCullen - 1641,G.I. Joe: The Rise of Cobra,/m/0h5q191,David Murray,M
147,corrupt_corporate_executive,Ed Dillinger,Tron,/m/0k7cbx,David Warner,M
148,corrupt_corporate_executive,Ian Hawke,Alvin and the Chipmunks,/m/03kyztz,David Cross,M
149,corrupt_corporate_executive,Jack Bennett,Edge of Darkness,/m/08cwjsb,Danny Huston,M
150,corrupt_corporate_executive,Charles Travis,Congo,/m/02vclwl,Bruce Campbell,M
151,corrupt_corporate_executive,Gary Winston,Antitrust,/m/02vbk_v,Tim Robbins,M
152,corrupt_corporate_executive,Dietrich Banning,The Tuxedo,/m/0cgn58l,Ritchie Coster,M
153,corrupt_corporate_executive,Ratchet,Robots,/m/0k2mmy,Greg Kinnear,M
154,coward,Beni Gabor,The Mummy,/m/03jskk3,Kevin J. O'Connor,M
155,coward,Lt. Roget / Singing man,Paths of Glory,/m/0cc_884,Wayne Morris,M
156,coward,Ike Clanton,Tombstone,/m/0cg418l,Stephen Lang,M
157,coward,Cpl. Timothy P. Upham,Saving Private Ryan,/m/040qvsz,Jeremy Davies,M
158,crazy_jealous_guy,Sir Alfred De Carter,Unfaithfully Yours,/m/02vct43,Rex Harrison,M
159,crazy_jealous_guy,Heathcliff,Wuthering Heights,/m/0k86mc,Laurence Olivier,M
160,crazy_jealous_guy,Alisdair Stewart,The Piano,/m/0k63tb,Sam Neill,M
161,crazy_jealous_guy,Dr. Stephen Fleming,Damage,/m/0jwy3x,Jeremy Irons,M
162,crazy_jealous_guy,Otto,A Fish Called Wanda,/m/0jsqxv,Kevin Kline,M
163,crazy_jealous_guy,Frank N. Furter,The Rocky Horror Picture Show,/m/0k69_1,Tim Curry,M
164,crazy_jealous_guy,David McCall,Fear,/m/0jy3_h,Mark Wahlberg,M
165,crazy_jealous_guy,Bud White,L.A. Confidential,/m/0j_n0t,Russell Crowe,M
166,crazy_jealous_guy,Tony Montana,Scarface,/m/02_8_nx,Al Pacino,M
167,crazy_jealous_guy,Martin Burney,Sleeping with the Enemy,/m/0k3ddh,Patrick Bergin,M
168,crazy_jealous_guy,Tommy DeVito,Goodfellas,/m/0jyytb,Joe Pesci,M
169,crazy_jealous_guy,John Lotter,Boys Don't Cry,/m/0jvqzw,Peter Sarsgaard,M
170,crazy_jealous_guy,Jake McKenna,U Turn,/m/0k7gxk,Nick Nolte,M
171,crazy_jealous_guy,Duke of Monroth,Moulin Rouge!,/m/0k0vyn,Richard Roxburgh,M
172,crazy_jealous_guy,Bill,Kill Bill Volume 1,/m/0j_fvv,David Carradine,M
173,heartbroken_badass,Bill,Kill Bill Volume 1,/m/0j_fvv,David Carradine,M
174,master_swordsman,Bill,Kill Bill Volume 1,/m/0j_fvv,David Carradine,M
175,crazy_jealous_guy,Bobby Tennison,No One Would Tell,/m/0g9k2p6,Fred Savage,M
176,crazy_jealous_guy,Johnny Farrell,Gilda,/m/0jysmq,Glenn Ford,M
177,crazy_jealous_guy,Takeo,The Grudge,/m/0hgc9dq,Takashi Matsuyama,M
178,crazy_jealous_guy,Guy,Swimming with Sharks,/m/021_h9h,Frank Whaley,M
179,crazy_jealous_guy,Blue,Sucker Punch,/m/0850_tx,Oscar Isaac,M
180,crazy_jealous_guy,Tony Wendice,Dial M for Murder,/m/0jx7qr,Ray Milland,M
181,crazy_jealous_guy,Steven Taylor,A Perfect Murder,/m/0jsw40,Michael Douglas,M
182,crazy_jealous_guy,Geoffrey Clifton,The English Patient,/m/0k4_tz,Colin Firth,M
183,crazy_survivalist,Harlan Ogilvy,War of the Worlds,/m/0k7w6s,Tim Robbins,M
184,crazy_survivalist,Eli,The Book of Eli,/m/05nv915,Denzel Washington,M
185,crazy_survivalist,Marvin Boggs,Red,/m/0b7n5zy,John Malkovich,M
186,cultured_badass,Everett Hitch,Appaloosa,/m/04601vx,Viggo Mortensen,M
187,cultured_badass,Leopold,Kate & Leopold,/m/02tb9_v,Hugh Jackman,M
188,cultured_badass,Ghost Dog,Ghost Dog: The Way of the Samurai,/m/0jyr6h,Forest Whitaker,M
189,hitman_with_a_heart,Ghost Dog,Ghost Dog: The Way of the Samurai,/m/0jyr6h,Forest Whitaker,M
190,cultured_badass,Dupont,Equilibrium,/m/0jxwqx,Angus Macfadyen,M
191,cultured_badass,Arthur Burns,The Proposition,/m/0k66rt,Danny Huston,M
192,warrior_poet,Arthur Burns,The Proposition,/m/0k66rt,Danny Huston,M
193,dean_bitterman,Richard Vernon,The Breakfast Club,/m/0k4l6b,Paul Gleason,M
194,dean_bitterman,Ed Rooney,Ferris Bueller's Day Off,/m/0jy52w,Jeffrey Jones,M
195,dean_bitterman,Mr. Nolan,Dead Poets Society,/m/0jx21w,Norman Lloyd,M
196,dean_bitterman,Dean Richmond,The Nutty Professor,/m/0k60j5,Larry Miller,M
197,dirty_cop,Alonzo,Training Day,/m/0k79b3,Denzel Washington,M
198,dirty_cop,Dennis Peck,Internal Affairs,/m/0jzyzv,Richard Gere,M
199,dirty_cop,Colin Sullivan,The Departed,/m/0k4xjq,Matt Damon,M
200,dirty_cop,Police Captain Hank Quinlan,Touch of Evil,/m/0k78gf,Orson Welles,M
201,dirty_cop,Rooster,Righteous Kill,/m/02vcq3r,Al Pacino,M
202,dirty_cop,Abel Turner,Lakeview Terrace,/m/02tb650,Samuel L. Jackson,M
203,dirty_cop,The Lieutenant,Bad Lieutenant,/m/0jtz28,Harvey Keitel,M
204,ditz,Cher Horowitz,Clueless,/m/0jwjsy,Alicia Silverstone,F
205,valley_girl,Cher Horowitz,Clueless,/m/0jwjsy,Alicia Silverstone,F
206,ditz,Mr. Bean,Mr. Bean's Holiday,/m/0jygqg,Rowan Atkinson,M
207,ditz,Arthur Bach,Arthur,/m/0ghdkxh,Russell Brand,M
208,ditz,Nick,30 Minutes or Less,/m/0gvd8dq,Jesse Eisenberg,M
209,ditz,Henry Roth,50 First Dates,/m/0jsll5,Adam Sandler,M
210,ditz,Michael Newman,Click,/m/0jwj2t,Adam Sandler,M
211,ditz,Chuck Levine,I Now Pronounce You Chuck and Larry,/m/02vbl__,Adam Sandler,M
212,doormat,George McFly,Back to the Future,/m/0jty5w,Crispin Glover,M
213,doormat,Harry Dunne,Dumb & Dumber,/m/0jxmxp,Jeff Daniels,M
214,doormat,Belle,Beauty and the Beast: The Enchanted Christmas,/m/0fprkm7,Paige O'Hara,F
215,doormat,Stu Price,The Hangover,/m/05srhg_,Ed Helms,M
216,drill_sargeant_nasty,Gny. Sgt. Hartman,Full Metal Jacket,/m/0jykjt,R. Lee Ermey,M
217,drill_sargeant_nasty,Master Chief John James Urgayle,G.I. Jane,/m/0jylf1,Viggo Mortensen,M
218,drill_sargeant_nasty,Sgt. Hulka,Stripes,/m/022108v,Warren Oates,M
219,drill_sargeant_nasty,Sergeant Thomas Highway,Heartbreak Ridge,/m/0jz8d6,Clint Eastwood,M
220,drill_sargeant_nasty,Staff Sergeant Robert Barnes,Platoon,/m/0k1yyt,Tom Berenger,M
221,psycho_for_hire,Staff Sergeant Robert Barnes,Platoon,/m/0k1yyt,Tom Berenger,M
222,drill_sargeant_nasty,Maj. John Reisman,The Dirty Dozen: The Next Mission,/m/0b78ft6,Lee Marvin,M
223,dumb_blonde,Kitty Packard,Dinner at Eight,/m/0jx9zj,Jean Harlow,F
224,dumb_blonde,Cindy Campbell,Scary Movie 4,/m/0k2y_7,Anna Faris,F
225,dumb_blonde,Cindy Campbell,Scary Movie 3,/m/0k2z05,Anna Faris,F
226,dumb_blonde,Brandi,Observe and Report,/m/059sp8v,Anna Faris,F
227,dumb_blonde,Pola Debevoise,How to Marry a Millionaire,/m/0jzmyb,Marilyn Monroe,F
228,dumb_blonde,Romy White,Romy and Michele's High School Reunion,/m/0k2p5c,Mira Sorvino,F
229,slacker,Romy White,Romy and Michele's High School Reunion,/m/0k2p5c,Mira Sorvino,F
230,valley_girl,Romy White,Romy and Michele's High School Reunion,/m/0k2p5c,Mira Sorvino,F
231,dumb_blonde,Michele Weinberger,Romy and Michele's High School Reunion,/m/0k2p5j,Lisa Kudrow,F
232,slacker,Michele Weinberger,Romy and Michele's High School Reunion,/m/0k2p5j,Lisa Kudrow,F
233,dumb_blonde,Suzanne Stone Maretto,To Die For,/m/0k75t3,Nicole Kidman,F
234,dumb_blonde,Rocky Horror - A Creation,The Rocky Horror Picture Show,/m/02tb6wq,Peter Hinwood,M
235,dumb_blonde,Lina Lamont,Singin' in the Rain,/m/0k3b2r,Jean Hagen,F
236,prima_donna,Lina Lamont,Singin' in the Rain,/m/0k3b2r,Jean Hagen,F
237,dumb_muscle,Lennie Pike,"It's a Mad, Mad, Mad, Mad World",/m/01z0cck,Jonathan Winters,M
238,dumb_muscle,Mongo,Blazing Saddles,/m/04w0vjn,Alex Karras,M
239,dumb_muscle,Fezzik,The Princess Bride,/m/0k65zh,André the Giant,M
240,dumb_muscle,Karl Childers,Sling Blade,/m/0k3dtt,Billy Bob Thornton,M
241,eccentric_mentor,Aughra,The Dark Crystal,/m/02vbpft,Billie Whitelaw,F
242,eccentric_mentor,Mr. Kesuke Miyagi,The Karate Kid,/m/0k5jxz,Pat Morita,M
243,eccentric_mentor,Yoda,Star Wars Episode V: The Empire Strikes Back,/m/02sg6hm,Frank Oz,M
244,eccentric_mentor,Gandalf,The Lord of the Rings: The Fellowship of the Ring,/m/0k5s9d,Ian McKellen,M
245,eccentric_mentor,Fin Raziel,Willow,/m/0k837x,Patricia Hayes,F
246,egomaniac_hunter,Clayton,Tarzan,/m/0k42s4,Brian Blessed,M
247,egomaniac_hunter,Gaston,Beauty and the Beast,/m/0jv4jc,Richard White,M
248,jerk_jock,Gaston,Beauty and the Beast,/m/0jv4jc,Richard White,M
249,egomaniac_hunter,Charles Muntz,Up,/m/045_c9z,Christopher Plummer,M
250,egomaniac_hunter,John Wilson,"White Hunter, Black Heart",/m/0k818w,Clint Eastwood,M
251,egomaniac_hunter,Victor Quartermaine,Wallace & Gromit: The Curse of the Were-Rabbit,/m/0k7vr9,Ralph Fiennes,M
252,egomaniac_hunter,The Predator,Predator 2,/m/03lpp78,Kevin Peter Hall,M
253,egomaniac_hunter,The Predator,Predator,/m/0h34xg2,Peter Cullen,M
254,evil_prince,Prince Yu,Curse of the Golden Flower,/m/0gbxx9x,Junjie Qin,
255,evil_prince,Crown Prince Leopold,The Illusionist,/m/0k5f_q,Rufus Sewell,M
256,evil_prince,Commodus,Gladiator,/m/0jytd4,Joaquin Phoenix,M
257,evil_prince,Lord Nelson Rathbone,Shanghai Knights,/m/02vd4f4,Aidan Gillen,M
258,evil_prince,Prince Nuada,Hellboy 2: The Golden Army,/m/04m9lhl,Luke Goss,M
259,evil_prince,Nizam,Prince of Persia: The Sands of Time,/m/04m5488,Ben Kingsley,M
260,evil_prince,Prince Otwani,Sheena,/m/0k36bq,Trevor Thomas,M
261,evil_prince,Prince Humperdinck,The Princess Bride,/m/0k65z0,Chris Sarandon,M
262,fastest_gun_in_the_west,Jim,Blazing Saddles,/m/0jvhqr,Gene Wilder,M
263,fastest_gun_in_the_west,Bret Maverick,Maverick,/m/0k0hyr,Mel Gibson,M
264,fastest_gun_in_the_west,Ned Nederlander,¡Three Amigos!,/m/0jshd9,Martin Short,M
265,fastest_gun_in_the_west,Harmonica,Once Upon a Time in the West,/m/0k1j46,Charles Bronson,M
266,revenge,Harmonica,Once Upon a Time in the West,/m/0k1j46,Charles Bronson,M
267,fastest_gun_in_the_west,Sheriff Woody,Toy Story,/m/0k78tv,Tom Hanks,M
268,fastest_gun_in_the_west,Ben Wade,3:10 to Yuma,/m/03hqy08,Russell Crowe,M
269,fastest_gun_in_the_west,RoboCop,RoboCop,/m/0h5q82q,Peter Weller,M
270,father_to_his_men,Capt. Mikhail Polenin,K-19: The Widowmaker,/m/0j_9gv,Liam Neeson,M
271,father_to_his_men,Capt. Nathan Cutting Brittles,She Wore a Yellow Ribbon,/m/0k35w2,John Wayne,M
272,father_to_his_men,Maximus Decimus Meridius,Gladiator,/m/0jytc_,Russell Crowe,M
273,father_to_his_men,Jack Aubrey,Master and Commander: The Far Side of the World,/m/0k0h66,Russell Crowe,M
274,officer_and_a_gentleman,Jack Aubrey,Master and Commander: The Far Side of the World,/m/0k0h66,Russell Crowe,M
275,father_to_his_men,Captain Benjamin L. Willard,Apocalypse Now,/m/0jtp2f,Martin Sheen,M
276,father_to_his_men,Captain of the 'Weser',Das Boot,/m/0j47kxy,Günter Lamprecht,M
277,father_to_his_men,Captain Nemo,The League of Extraordinary Gentlemen,/m/0k5nrw,Naseeruddin Shah,M
278,father_to_his_men,Capt. James 'Bugger' Staros,The Thin Red Line,/m/0k6nwg,Elias Koteas,M
279,father_to_his_men,Gen. Robert E. Lee,Gettysburg,/m/0jyqwm,Martin Sheen,M
280,father_to_his_men,General Kuribayashi,Letters from Iwo Jima,/m/03jtctp,Ken Watanabe,M
281,father_to_his_men,Lt. Commander Ron Hunter,Crimson Tide,/m/0jwsnp,Denzel Washington,M
282,father_to_his_men,Christopher Pike,Star Trek,/m/03ld2yg,Bruce Greenwood,M
283,father_to_his_men,Zordon,Mighty Morphin' Power Rangers: The Movie,/m/0k0nmw,Nicholas Bell,M
284,father_to_his_men,Wolfstan,Black Death,/m/0cg03cg,John Lynch,M
285,father_to_his_men,Major Henry West,28 Days Later,/m/0jskmk,Christopher Eccleston,M
286,final_girl,Nancy Thompson,A Nightmare on Elm Street,/m/0jsvgr,Heather Langenkamp,F
287,final_girl,Sidney Prescott,Scream,/m/0k2_bc,Neve Campbell,F
288,final_girl,Ellen Ripley,Alien,/m/0jt7sz,Sigourney Weaver,F
