,type,char,movie,Freebase_character/actor_map_ID,Actor_name,Gender
0,absent_minded_professor,Professor Philip Brainard,Flubber,/m/0jy9q0,Robin Williams,M
1,absent_minded_professor,Professor Keenbean,Richie Rich,/m/02vchl3,Michael McShane,M
2,absent_minded_professor,Dr. Reinhardt Lane,The Shadow,/m/0k6fkc,Ian McKellen,M
3,absent_minded_professor,Dr. Harold Medford,Them!,/m/0k6_br,Edmund Gwenn,M
4,absent_minded_professor,Daniel Jackson,Stargate,/m/0k3rhh,James Spader,M
5,adventurer_archaeologist,Indiana Jones,Indiana Jones and the Kingdom of the Crystal Skull,/m/0jzx78,Harrison Ford,M
6,adventurer_archaeologist,Indiana Jones,Indiana Jones and the Raiders of the Lost Ark,/m/0k294p,Harrison Ford,M
7,adventurer_archaeologist,Indiana Jones,Indiana Jones and the Temple of Doom,/m/0jzx9b,Harrison Ford,M
8,adventurer_archaeologist,Evelyn Carnahan-O'Connell,The Mummy,/m/0k5yzc,Rachel Weisz,F
9,arrogant_kungfu_guy,Han,Enter the Dragon,/m/02vd8hn,Shih Kien,M
10,arrogant_kungfu_guy,Johnny Lawrence,The Karate Kid,/m/0k5jyf,William Zabka,M
11,jerk_jock,Johnny Lawrence,The Karate Kid,/m/0k5jyf,William Zabka,M
12,arrogant_kungfu_guy,Jen Yu,"Crouching Tiger, Hidden Dragon",/m/0jwv09,Zhang Ziyi,F
13,arrogant_kungfu_guy,Pai Mei,Kill Bill Volume 2,/m/0gz3h92,Chia Hui Liu,M
14,arrogant_kungfu_guy,Apollo Creed,Rocky,/m/0k2n0d,Carl Weathers,M
15,arrogant_kungfu_guy,Clubber Lang,Rocky III,/m/0k2n56,Mr. T,M
16,arrogant_kungfu_guy,Storm Shadow,G.I. Joe: The Rise of Cobra,/m/052dfd5,Lee Byung-Hun,M
17,arrogant_kungfu_guy,Kurgan,Highlander,/m/02214xq,Clancy Brown,M
18,arrogant_kungfu_guy,Anakin Skywalker,Star Wars Episode III: Revenge of the Sith,/m/02sg5ry,Hayden Christensen,M
19,byronic_hero,Anakin Skywalker,Star Wars Episode III: Revenge of the Sith,/m/02sg5ry,Hayden Christensen,M
20,big_man_on_campus,Guy Perkins,Never Been Kissed,/m/02vbkvz,Jeremy Jordan,M
21,big_man_on_campus,John Tucker,John Tucker Must Die,/m/0j_6gm,Jesse Metcalfe,M
22,big_man_on_campus,Woody Deane,It's a Boy Girl Thing,/m/02vc983,Kevin Zegers,M
23,big_man_on_campus,Van Wilder,National Lampoon's Van Wilder,/m/0k14rv,Ryan Reynolds,M
24,big_man_on_campus,Paul Metzler,Election,/m/02vdf9d,Chris Klein,M
25,brainless_beauty,Paul Metzler,Election,/m/02vdf9d,Chris Klein,M
26,big_man_on_campus,Troy Bolton,High School Musical,/m/0jzdys,Zac Efron,M
27,big_man_on_campus,Mike Dexter,Can't Hardly Wait,/m/03jsnmf,Peter Facinelli,M
28,jerk_jock,Mike Dexter,Can't Hardly Wait,/m/03jsnmf,Peter Facinelli,M
29,bounty_hunter,Man with No Name,For a Few Dollars More,/m/0jybsq,Clint Eastwood,M
30,bounty_hunter,Josey Wales,The Outlaw Josey Wales,/m/0k61jr,Clint Eastwood,M
31,heartbroken_badass,Josey Wales,The Outlaw Josey Wales,/m/0k61jr,Clint Eastwood,M
32,bounty_hunter,Jellon Lamb,The Proposition,/m/06wh7_d,John Hurt,M
33,bounty_hunter,Beck,The Rundown,/m/0k6bqx,The Rock,M
34,bounty_hunter,Rick Deckard,Blade Runner,/m/0jvhbm,Harrison Ford,M
35,hardboiled_detective,Rick Deckard,Blade Runner,/m/0jvhbm,Harrison Ford,M
36,bounty_hunter,Leonard Smalls,Raising Arizona,/m/02vbtgt,"Randall ""Tex"" Cobb",M
37,bounty_hunter,Jack Walsh,Midnight Run,/m/0k0n9r,Robert De Niro,M
38,bounty_hunter,Milo Boyd,The Bounty Hunter,/m/0772tb3,Gerard Butler,M
39,bounty_hunter,Toombs,The Chronicles of Riddick,/m/0k4qdz,Nick Chinlund,M
40,bounty_hunter,Nick Randall,Wanted: Dead or Alive,/m/03jsm0f,Rutger Hauer,M
41,brainless_beauty,Gemma Honeycutt,Fool's Gold,/m/04dddz5,Alexis Dziena,F
42,brainless_beauty,Matt Mateo,The Opposite of Sex,/m/02tbdw7,Ivan Sergei,M
43,brainless_beauty,Shelley Darlingson,The House Bunny,/m/04dgw4t,Anna Faris,F
44,brainless_beauty,Brace Channing,My Favorite Martian,/m/03lvf22,Elizabeth Hurley,F
45,brainless_beauty,Mia,Stan Helsing,/m/0gc3g1p,Desi Lydic,F
46,dumb_blonde,Mia,Stan Helsing,/m/0gc3g1p,Desi Lydic,F
47,brainless_beauty,Marcia Brady,The Brady Bunch Movie,/m/0k4k_5,Christine Taylor,F
48,brainless_beauty,Chris,Roxanne,/m/0k2q15,Rick Rossovich,M
