,type,char,movie,Freebase_character/actor_map_ID,Actor_name
0,absent_minded_professor,Professor Philip Brainard,Flubber,/m/0jy9q0,Robin Williams
1,absent_minded_professor,Professor Keenbean,Richie Rich,/m/02vchl3,Michael McShane
2,absent_minded_professor,Dr. Reinhardt Lane,The Shadow,/m/0k6fkc,Ian McKellen
3,absent_minded_professor,Dr. Harold Medford,Them!,/m/0k6_br,Edmund Gwenn
4,absent_minded_professor,Daniel Jackson,Stargate,/m/0k3rhh,James Spader
5,adventurer_archaeologist,Indiana Jones,Indiana Jones and the Kingdom of the Crystal Skull,/m/0jzx78,Harrison Ford
6,adventurer_archaeologist,Indiana Jones,Indiana Jones and the Raiders of the Lost Ark,/m/0k294p,Harrison Ford
7,adventurer_archaeologist,Indiana Jones,Indiana Jones and the Temple of Doom,/m/0jzx9b,Harrison Ford
8,adventurer_archaeologist,Evelyn Carnahan-O'Connell,The Mummy,/m/0k5yzc,Rachel Weisz
9,arrogant_kungfu_guy,Han,Enter the Dragon,/m/02vd8hn,Shih Kien
10,arrogant_kungfu_guy,Johnny Lawrence,The Karate Kid,/m/0k5jyf,William Zabka
11,arrogant_kungfu_guy,Jen Yu,"Crouching Tiger, Hidden Dragon",/m/0jwv09,Zhang Ziyi
12,arrogant_kungfu_guy,Pai Mei,Kill Bill Volume 2,/m/0gz3h92,Chia Hui Liu
13,arrogant_kungfu_guy,Apollo Creed,Rocky,/m/0k2n0d,Carl Weathers
14,arrogant_kungfu_guy,Clubber Lang,Rocky III,/m/0k2n56,Mr. T
15,arrogant_kungfu_guy,Storm Shadow,G.I. Joe: The Rise of Cobra,/m/052dfd5,Lee Byung-Hun
16,arrogant_kungfu_guy,Kurgan,Highlander,/m/02214xq,Clancy Brown
17,arrogant_kungfu_guy,Anakin Skywalker,Star Wars Episode III: Revenge of the Sith,/m/02sg5ry,Hayden Christensen
18,big_man_on_campus,Guy Perkins,Never Been Kissed,/m/02vbkvz,Jeremy Jordan
19,big_man_on_campus,John Tucker,John Tucker Must Die,/m/0j_6gm,Jesse Metcalfe
20,big_man_on_campus,Woody Deane,It's a Boy Girl Thing,/m/02vc983,Kevin Zegers
21,big_man_on_campus,Van Wilder,National Lampoon's Van Wilder,/m/0k14rv,Ryan Reynolds
22,big_man_on_campus,Paul Metzler,Election,/m/02vdf9d,Chris Klein
23,big_man_on_campus,Troy Bolton,High School Musical,/m/0jzdys,Zac Efron
24,big_man_on_campus,Mike Dexter,Can't Hardly Wait,/m/03jsnmf,Peter Facinelli
25,bounty_hunter,Man with No Name,For a Few Dollars More,/m/0jybsq,Clint Eastwood
26,bounty_hunter,Josey Wales,The Outlaw Josey Wales,/m/0k61jr,Clint Eastwood
27,bounty_hunter,Jellon Lamb,The Proposition,/m/06wh7_d,John Hurt
28,bounty_hunter,Beck,The Rundown,/m/0k6bqx,The Rock
29,bounty_hunter,Rick Deckard,Blade Runner,/m/0jvhbm,Harrison Ford
30,bounty_hunter,Leonard Smalls,Raising Arizona,/m/02vbtgt,"Randall ""Tex"" Cobb"
31,bounty_hunter,Jack Walsh,Midnight Run,/m/0k0n9r,Robert De Niro
32,bounty_hunter,Milo Boyd,The Bounty Hunter,/m/0772tb3,Gerard Butler
33,bounty_hunter,Toombs,The Chronicles of Riddick,/m/0k4qdz,Nick Chinlund
34,bounty_hunter,Nick Randall,Wanted: Dead or Alive,/m/03jsm0f,Rutger Hauer
35,brainless_beauty,Gemma Honeycutt,Fool's Gold,/m/04dddz5,Alexis Dziena
36,brainless_beauty,Matt Mateo,The Opposite of Sex,/m/02tbdw7,Ivan Sergei
37,brainless_beauty,Paul Metzler,Election,/m/02vdf9d,Chris Klein
38,brainless_beauty,Shelley Darlingson,The House Bunny,/m/04dgw4t,Anna Faris
39,brainless_beauty,Brace Channing,My Favorite Martian,/m/03lvf22,Elizabeth Hurley
40,brainless_beauty,Mia,Stan Helsing,/m/0gc3g1p,Desi Lydic
41,brainless_beauty,Marcia Brady,The Brady Bunch Movie,/m/0k4k_5,Christine Taylor
42,brainless_beauty,Chris,Roxanne,/m/0k2q15,Rick Rossovich
43,brainless_beauty,Buffy Summers,Buffy the Vampire Slayer,/m/0jvy0r,Kristy Swanson
44,brainless_beauty,Brad,Extract,/m/0b3trzf,Dustin Milligan
